"REF_DATE","GEO","DGUID","National Occupational Classification","Job vacancy characteristics","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-01","Nunavut","2016A000262","Health occupations [3]","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v105713611","14.5.13.1","","F","","","0"
"2023-01","Nunavut","2016A000262","Occupations in education, law and social, community and government services [4]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105720184","14.6.4.1","65","E","","","0"
"2023-01","Nunavut","2016A000262","Occupations in education, law and social, community and government services [4]","No minimum level of education required","Job vacancies","Number","223","units","0","v105720187","14.6.5.1","","F","","","0"
"2023-01","Nunavut","2016A000262","Occupations in education, law and social, community and government services [4]","High school diploma or equivalent","Job vacancies","Number","223","units","0","v105720190","14.6.6.1","","F","","","0"
"2023-01","Nunavut","2016A000262","Occupations in education, law and social, community and government services [4]","Non-university certificate or diploma","Job vacancies","Number","223","units","0","v105720193","14.6.7.1","15","E","","","0"
"2023-01","Nunavut","2016A000262","Occupations in education, law and social, community and government services [4]","University certificate or diploma below bachelor's level","Job vacancies","Number","223","units","0","v105720202","14.6.10.1","","F","","","0"
"2023-01","Nunavut","2016A000262","Occupations in education, law and social, community and government services [4]","Bachelor's degree","Job vacancies","Number","223","units","0","v105720208","14.6.12.1","0","","","","0"
"2023-01","Nunavut","2016A000262","Occupations in education, law and social, community and government services [4]","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v105720211","14.6.13.1","0","","","","0"
"2023-01","Nunavut","2016A000262","Occupations in art, culture, recreation and sport [5]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105727312","14.7.4.1","","F","","","0"
"2023-01","Nunavut","2016A000262","Occupations in art, culture, recreation and sport [5]","No minimum level of education required","Job vacancies","Number","223","units","0","v105727315","14.7.5.1","","F","","","0"
"2023-01","Nunavut","2016A000262","Occupations in art, culture, recreation and sport [5]","High school diploma or equivalent","Job vacancies","Number","223","units","0","v105727318","14.7.6.1","","F","","","0"
"2023-01","Nunavut","2016A000262","Occupations in art, culture, recreation and sport [5]","Non-university certificate or diploma","Job vacancies","Number","223","units","0","v105727321","14.7.7.1","","F","","","0"
"2023-01","Nunavut","2016A000262","Occupations in art, culture, recreation and sport [5]","University certificate or diploma below bachelor's level","Job vacancies","Number","223","units","0","v105727330","14.7.10.1","0","","","","0"
"2023-01","Nunavut","2016A000262","Occupations in art, culture, recreation and sport [5]","Bachelor's degree","Job vacancies","Number","223","units","0","v105727336","14.7.12.1","","F","","","0"
"2023-01","Nunavut","2016A000262","Occupations in art, culture, recreation and sport [5]","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v105727339","14.7.13.1","","F","","","0"
"2023-01","Nunavut","2016A000262","Sales and service occupations [6]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105733120","14.8.4.1","150","E","","","0"
"2023-01","Nunavut","2016A000262","Sales and service occupations [6]","No minimum level of education required","Job vacancies","Number","223","units","0","v105733123","14.8.5.1","","F","","","0"
"2023-01","Nunavut","2016A000262","Sales and service occupations [6]","High school diploma or equivalent","Job vacancies","Number","223","units","0","v105733126","14.8.6.1","","F","","","0"
"2023-01","Nunavut","2016A000262","Sales and service occupations [6]","Non-university certificate or diploma","Job vacancies","Number","223","units","0","v105733129","14.8.7.1","15","E","","","0"
"2023-01","Nunavut","2016A000262","Sales and service occupations [6]","University certificate or diploma below bachelor's level","Job vacancies","Number","223","units","0","v105733138","14.8.10.1","0","","","","0"
"2023-01","Nunavut","2016A000262","Sales and service occupations [6]","Bachelor's degree","Job vacancies","Number","223","units","0","v105733144","14.8.12.1","0","","","","0"
"2023-01","Nunavut","2016A000262","Sales and service occupations [6]","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v105733147","14.8.13.1","0","","","","0"
"2023-01","Nunavut","2016A000262","Trades, transport and equipment operators and related occupations [7]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105743944","14.9.4.1","75","E","","","0"
"2023-01","Nunavut","2016A000262","Trades, transport and equipment operators and related occupations [7]","No minimum level of education required","Job vacancies","Number","223","units","0","v105743947","14.9.5.1","","F","","","0"
